submission_id,QUD,RT,age,category,color,comments,endTime,experiment_id,gender,languages,optionLeft,optionRight,picture,pictureFormat,question,response,startDate,startTime,timeSpent,trial_name,trial_number
785,Wie bewerten sie das folgende Merkmal?,8100,21,NA,NA,,1563307531709,80,weiblich,,Trifft gleichermaßen auf Menschen und Tiere zu,Trifft nur auf Menschen zu,NA,NA,Höflichlichkeit,3,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_personality,1
785,Wie bewerten sie das folgende Merkmal?,5513,21,NA,NA,,1563307531709,80,weiblich,,Trifft gleichermaßen auf Menschen und Tiere zu,Trifft nur auf Menschen zu,NA,NA,Agressivität,4,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_personality,2
785,Wie bewerten sie das folgende Merkmal?,2736,21,NA,NA,,1563307531709,80,weiblich,,Trifft gleichermaßen auf Menschen und Tiere zu,Trifft nur auf Menschen zu,NA,NA,Sensibilität,4,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_personality,3
785,Wie bewerten sie das folgende Merkmal?,3225,21,NA,NA,,1563307531709,80,weiblich,,Trifft gleichermaßen auf Menschen und Tiere zu,Trifft nur auf Menschen zu,NA,NA,Geduld,7,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_personality,4
785,Wie bewerten sie das folgende Merkmal?,3630,21,NA,NA,,1563307531709,80,weiblich,,Trifft gleichermaßen auf Menschen und Tiere zu,Trifft nur auf Menschen zu,NA,NA,Freundlichkeit,8,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_personality,5
785,Wie bewerten sie das folgende Merkmal?,2187,21,NA,NA,,1563307531709,80,weiblich,,Trifft gleichermaßen auf Menschen und Tiere zu,Trifft nur auf Menschen zu,NA,NA,Extrovertiertheit,4,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_personality,6
785,Wie bewerten sie das folgende Merkmal?,2438,21,NA,NA,,1563307531709,80,weiblich,,Trifft gleichermaßen auf Menschen und Tiere zu,Trifft nur auf Menschen zu,NA,NA,Dominanz,4,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_personality,7
785,Wie bewerten sie das folgende Merkmal?,4006,21,NA,NA,,1563307531709,80,weiblich,,Trifft gleichermaßen auf Menschen und Tiere zu,Trifft nur auf Menschen zu,NA,NA,Selbstsicherheit,3,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_personality,8
785,Wie bewerten sie das folgende Merkmal?,3607,21,NA,NA,,1563307531709,80,weiblich,,Trifft gleichermaßen auf Menschen und Tiere zu,Trifft nur auf Menschen zu,NA,NA,Gewissenhaftigkeit,7,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_personality,9
785,Wie bewerten sie das folgende Merkmal?,9937,21,NA,NA,,1563307531709,80,weiblich,,Trifft gleichermaßen auf Menschen und Tiere zu,Trifft nur auf Menschen zu,NA,NA,Vertrauenswürdigkeit,4,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_personality,10
785,,5518,21,Vertrauenswürdigkeit,White,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-White22.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,3,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,1
785,,4411,21,Vertrauenswürdigkeit,White,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-White4.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,2,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,2
785,,3302,21,Vertrauenswürdigkeit,White,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-White16.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,4,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,3
785,,7247,21,Vertrauenswürdigkeit,White,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-White33.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,4,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,4
785,,2842,21,Vertrauenswürdigkeit,Black,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-Black6.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,4,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,5
785,,17204,21,Vertrauenswürdigkeit,Black,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-Black10.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,3,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,6
785,,2072,21,Vertrauenswürdigkeit,Black,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-Black19.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,4,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,7
785,,6233,21,Vertrauenswürdigkeit,White,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-White30.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,3,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,8
785,,1917,21,Vertrauenswürdigkeit,Black,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-Black24.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,5,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,9
785,,4653,21,Vertrauenswürdigkeit,Black,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-Black35.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,5,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,10
785,,5205,21,Vertrauenswürdigkeit,White,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-White5.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,5,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,11
785,,12547,21,Vertrauenswürdigkeit,Black,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-Black1.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,4,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,12
785,,1726,21,Vertrauenswürdigkeit,Black,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-Black29.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,5,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,13
785,,1602,21,Vertrauenswürdigkeit,Black,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-Black17.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,5,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,14
785,,1652,21,Vertrauenswürdigkeit,White,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-White23.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,6,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,15
785,,2417,21,Vertrauenswürdigkeit,Black,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-Black13.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,4,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,16
785,,3063,21,Vertrauenswürdigkeit,White,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-White12.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,4,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,17
785,,2535,21,Vertrauenswürdigkeit,White,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-White15.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,4,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,18
785,,4290,21,Vertrauenswürdigkeit,Black,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-Black33.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,5,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,19
785,,2236,21,Vertrauenswürdigkeit,Black,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-Black2.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,4,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,20
785,,1851,21,Vertrauenswürdigkeit,Black,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-Black32.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,4,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,21
785,,3584,21,Vertrauenswürdigkeit,Black,,1563307531709,80,weiblich,,Gar nicht vertrauenswürdig,Sehr vertrauenswürdig,images/upright/Stimulus-Upright-Black31.jpg,Upright,Wie vertrauenswürdig ist dieses Gesicht?,5,Tue Jul 16 2019 21:54:58 GMT+0200 (Central European Summer Time),1563306898819,10.548166666666667,rate_face,22
